model_name,prompt_strategy,exact_match,component_match,execution_accuracy,avg_latency_s,p95_latency_s,gpu_mem_peak
sqlcoder_7b,zero-shot,0.0,0.49266706829748613,0.0,1.9805813303500022,3.8541700859000225,14.724 GB
sqlcoder_7b,random-5-shot,0.0,0.6306451026756755,0.0,2.634655065633342,3.3951222883500347,18.100 GB
sqlcoder_7b,retrieved-5-shot,0.2,0.8356505155061654,0.21666666666666667,2.4997560495999966,3.660164834950046,18.403 GB
deepseek_coder_inst,zero-shot,0.0,0.4863408863238584,0.0,5.189009572250001,5.256073117049982,14.766 GB
deepseek_coder_inst,random-5-shot,0.0,0.6794059769922771,0.0,7.139279463699988,7.527427743049907,17.998 GB
deepseek_coder_inst,retrieved-5-shot,0.2833333333333333,0.8432438889083627,0.3,7.533783077699983,7.687749493050023,18.290 GB
llama3_8b_inst,zero-shot,0.0,0.1551108095121253,0.0,5.061212868349981,5.186748396399798,16.750 GB
llama3_8b_inst,random-5-shot,0.03333333333333333,0.751278875736693,0.03333333333333333,5.643270268066681,5.6901484581501105,17.703 GB
llama3_8b_inst,retrieved-5-shot,0.4,0.8814522144522144,0.4166666666666667,5.70364936303331,5.777212826700042,17.786 GB
bloomz_7b_mt,zero-shot,0.0,0.33996644546257554,0.0,0.6658697738333407,1.9897567179496713,15.266 GB
bloomz_7b_mt,random-5-shot,0.0,0.6650890989528759,0.0,2.2519569769666457,3.4531549015997363,20.759 GB
bloomz_7b_mt,retrieved-5-shot,0.03333333333333333,0.6157354644839166,0.03333333333333333,2.403802130916673,4.647218000350107,21.458 GB
codellama_7b_inst,zero-shot,0.0,0.35583023851793205,0.0,4.88185753611665,5.5368380166002,14.769 GB
codellama_7b_inst,random-5-shot,0.0,0.6524909940993532,0.0,5.0277912627332855,7.567842467849755,18.095 GB
codellama_7b_inst,retrieved-5-shot,0.23333333333333334,0.7950554165619955,0.23333333333333334,4.909968918283342,7.692210769749499,18.402 GB
