model_name,prompt_strategy,exact_match,component_match,execution_accuracy,avg_latency_s,p95_latency_s,gpu_mem_peak
sqlcoder_7b,zero-shot,0.0,0.8517431748391501,0.13333333333333333,2.10087970278333,3.3589271491499852,14.750 GB
sqlcoder_7b,random-5-shot,0.31666666666666665,0.9123081811262926,0.45,2.417681345316676,3.4922735174998247,17.904 GB
sqlcoder_7b,retrieved-5-shot,0.5666666666666667,0.9478143041169357,0.6333333333333333,2.481812889283295,4.309542341399832,18.465 GB
deepseek_coder_inst,zero-shot,0.15,0.5359983567487437,0.18333333333333332,5.170646340516684,5.263014721800164,14.724 GB
deepseek_coder_inst,random-5-shot,0.3333333333333333,0.9410586725795702,0.4166666666666667,7.205381848299976,7.374787303250105,17.780 GB
deepseek_coder_inst,retrieved-5-shot,0.6166666666666667,0.954720990267043,0.6,7.410069481216624,7.591454312649603,18.325 GB
llama3_8b_inst,zero-shot,0.06666666666666667,0.29830708399787353,0.08333333333333333,5.088850408949929,5.138586690950388,16.733 GB
llama3_8b_inst,random-5-shot,0.43333333333333335,0.9198385802936886,0.5,5.648449253883215,5.740752250049672,17.630 GB
llama3_8b_inst,retrieved-5-shot,0.6833333333333333,0.9566489950108371,0.7,5.679669293850096,5.752901694000229,17.794 GB
bloomz_7b_mt,zero-shot,0.0,0.6140913887883702,0.016666666666666666,1.1187331805832703,3.7530228988507126,15.230 GB
bloomz_7b_mt,random-5-shot,0.03333333333333333,0.703515318845814,0.1,1.6507504801999706,2.27442401319963,20.391 GB
bloomz_7b_mt,retrieved-5-shot,0.23333333333333334,0.6580859795662427,0.21666666666666667,1.9280130206166934,3.695483023199494,21.570 GB
codellama_7b_inst,zero-shot,0.13333333333333333,0.8345551469800696,0.2,3.0887012904833377,5.245173590399827,14.734 GB
codellama_7b_inst,random-5-shot,0.38333333333333336,0.9144755244898435,0.48333333333333334,5.378336571133407,7.5030943751,17.901 GB
codellama_7b_inst,retrieved-5-shot,0.6833333333333333,0.9588209532412321,0.6833333333333333,4.113842668200035,7.6885189628994794,18.464 GB
